"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.058558042E0,-1.574978371E-2,1.746195580E-2,3.456815422E-2,4.180828714E-2
2.068487334E0,-9.726824965E-3,1.412552085E-2,2.902850211E-2,3.371639657E-2
2.078420334E0,-1.017615037E-2,3.424960887E-4,3.591359854E-2,3.732904901E-2
2.088354333E0,-1.495940575E-2,-6.049264362E-4,4.145149648E-2,4.407239858E-2
2.098287333E0,-1.287263498E-2,5.806481573E-3,3.710993886E-2,3.970601367E-2
2.108220333E0,-1.248662624E-2,-3.946381775E-3,3.381737173E-2,3.626436811E-2
2.118154333E0,-1.475717545E-2,2.147385380E-3,3.172231436E-2,3.505268491E-2
2.128087333E0,-1.722448804E-2,-6.825893372E-4,3.965698600E-2,4.324147841E-2
2.138020333E0,-2.150399437E-2,5.028377054E-4,4.340095818E-2,4.843880460E-2
2.147954334E0,-5.149588007E-3,-3.023412488E-3,3.112648308E-2,3.169411978E-2
2.157887334E0,-8.779560041E-3,5.286193583E-3,4.160586298E-2,4.284941483E-2
2.167820334E0,-1.460452430E-2,1.780372099E-3,3.157847285E-2,3.483764921E-2
2.177754333E0,-1.327339195E-2,-8.009401797E-3,3.292684078E-2,3.639382221E-2
2.187687333E0,-1.125313326E-2,2.399112582E-3,2.649256468E-2,2.888329504E-2
2.197621333E0,-1.370008566E-2,5.985616506E-3,2.784151733E-2,3.160174108E-2
2.207554333E0,-3.022711279E-3,5.596630485E-3,2.080907106E-2,2.175951504E-2
2.217487333E0,-8.006347998E-3,3.790402729E-3,2.844494998E-2,2.979234702E-2
2.227421334E0,-1.304315098E-2,3.859902369E-3,2.680012822E-2,3.005444238E-2
2.237354334E0,-1.584385536E-2,1.461239748E-2,1.303110480E-2,2.518649649E-2
2.247287333E0,-4.295291528E-3,9.295062907E-3,2.141484261E-2,2.373695868E-2
2.257221333E0,-1.151413378E-2,-3.387776250E-3,1.767496347E-2,2.136484586E-2
2.267154333E0,-6.939352197E-3,2.280313605E-3,1.737734020E-2,1.885010322E-2
2.277087334E0,-7.441440728E-3,1.125011144E-2,1.573193371E-2,2.072278422E-2
2.287021333E0,-3.430977124E-3,1.012522135E-2,1.154181898E-2,1.573230106E-2
2.296954333E0,-8.051775838E-3,6.307199663E-3,2.022434950E-2,2.266354285E-2
2.306888334E0,-5.721564470E-3,6.465225234E-3,1.543431044E-2,1.768483463E-2
2.316821333E0,-4.459577731E-3,-6.518640462E-4,9.147968888E-3,1.019794563E-2
2.326754333E0,-6.013052738E-3,4.704879848E-3,1.633244276E-2,1.802890413E-2
2.336688333E0,-6.106886845E-3,4.142523883E-3,2.276905775E-2,2.393500704E-2
2.346621333E0,-6.708572188E-3,6.008132854E-3,2.486353040E-2,2.644423841E-2
2.356554334E0,-9.989520265E-3,3.518333612E-4,8.246328235E-3,1.295824954E-2
2.366488333E0,-7.831904541E-3,1.019028076E-3,1.108924448E-2,1.361427524E-2
2.376421333E0,-4.266923396E-3,9.049712825E-3,1.018994272E-2,1.428071672E-2
2.386354333E0,-3.647070571E-3,3.663381105E-3,2.156453133E-2,2.217544805E-2
2.396288333E0,-1.089795831E-2,-1.723672380E-3,3.054410040E-2,3.247581579E-2
2.406221333E0,-7.548684601E-3,6.599766011E-3,2.365666509E-2,2.569391667E-2
2.416155333E0,-7.391138684E-3,5.154366279E-3,2.620020390E-2,2.770644522E-2
2.426088334E0,-1.155664258E-2,4.629596947E-3,2.036117435E-2,2.386559399E-2
2.436021334E0,-1.409511533E-2,2.453975910E-3,2.754447877E-2,3.103856609E-2
2.445955333E0,-7.194619705E-3,2.965867664E-3,2.544649780E-2,2.660983228E-2
2.455888333E0,-8.189521164E-3,6.582612656E-3,2.604408324E-2,2.808368420E-2
2.465821333E0,-1.001447600E-2,9.416164225E-3,3.667081296E-2,3.916251271E-2
2.475755333E0,-9.429270211E-3,1.025450420E-2,3.382614255E-2,3.658242628E-2
2.485688333E0,-8.809111321E-3,-2.110237288E-3,2.963427365E-2,3.098779951E-2
2.495621333E0,-1.281694596E-2,1.767535633E-3,3.292742550E-2,3.537815196E-2
2.505555334E0,-1.040194311E-2,9.180256482E-3,3.607030392E-2,3.864640157E-2
2.515488334E0,-3.224810238E-3,2.051925017E-3,3.382497311E-2,3.404024975E-2
2.525422333E0,-8.700648897E-3,3.296029782E-3,2.813738644E-2,2.963574901E-2
2.535355333E0,-7.719120659E-3,1.003665430E-4,3.547271848E-2,3.630301163E-2
2.545288333E0,-1.271148138E-2,-1.714773648E-3,3.442606688E-2,3.673794072E-2
2.555222333E0,-1.526003829E-2,8.870408870E-5,2.649373412E-2,3.057441062E-2
2.565155333E0,-1.240780760E-2,1.714572650E-3,3.008743286E-2,3.259059780E-2
2.575088333E0,-6.084434451E-3,7.513306662E-4,3.278299928E-2,3.335131005E-2
2.585022334E0,-1.324773044E-2,-4.100222932E-4,3.128669679E-2,3.397834422E-2
2.594955334E0,-8.666708779E-3,8.691607411E-3,2.829409182E-2,3.084171708E-2
2.604888333E0,-1.618372705E-2,2.167690750E-3,3.218775272E-2,3.609242760E-2
2.614822333E0,-6.029048071E-3,-5.194894793E-3,2.874608159E-2,2.982739612E-2
2.624755333E0,-1.070994520E-2,3.338915454E-3,2.350814581E-2,2.604772931E-2
2.634689333E0,-6.500922942E-3,5.820071781E-3,2.470740974E-2,2.620288783E-2
2.644622333E0,-1.048829004E-2,-2.492786804E-4,2.380986214E-2,2.601876059E-2
2.654555333E0,-1.327119924E-2,2.166484762E-4,1.991912484E-2,2.393623196E-2
2.664489334E0,-6.148388372E-3,-1.433463190E-3,3.399161875E-2,3.457293221E-2
2.674422333E0,-8.794305988E-3,3.015843085E-3,1.438415051E-2,1.712713966E-2
2.684355333E0,-4.998734412E-3,6.756960182E-3,2.097220838E-2,2.259374650E-2
2.694289333E0,-6.880601384E-3,6.576409126E-3,1.768022597E-2,2.007939797E-2
2.704222333E0,-9.127992424E-3,1.039127880E-3,2.022610366E-2,2.221475415E-2
2.714155334E0,-6.842777207E-3,-2.547115660E-3,1.842983902E-2,1.982348012E-2
2.724089333E0,-8.390962312E-3,-8.045837260E-3,1.438882828E-2,1.849816545E-2
2.734022333E0,-1.002646964E-2,4.862128836E-3,1.678384781E-2,2.014616434E-2
2.743956333E0,-6.683554784E-3,-2.455469691E-3,1.109509170E-2,1.318333402E-2
2.753889333E0,-2.923171569E-3,1.939452910E-3,1.917711318E-2,1.949533481E-2
2.763822333E0,-1.141030002E-2,1.905685239E-3,1.318897963E-2,1.754353916E-2
2.773756333E0,-1.972672404E-3,1.748577864E-3,2.321695447E-2,2.336612796E-2
2.783689334E0,-3.859125786E-3,-5.740321241E-5,2.815551281E-2,2.841881504E-2
2.793622334E0,-1.019483062E-2,1.021357826E-3,2.081959605E-2,2.320416607E-2
2.803556333E0,-1.025989003E-2,3.510110965E-4,3.533881724E-2,3.679973582E-2
2.813489333E0,7.429373993E-3,-8.124185381E-3,2.485885262E-2,2.718750706E-2
2.823423333E0,-4.533631804E-3,-7.292601680E-3,1.617632210E-2,1.831418176E-2
2.833356333E0,-7.745201297E-3,2.842189916E-3,1.467826545E-2,1.683798276E-2
2.843289333E0,-1.323901215E-2,-8.314466570E-4,2.590375006E-2,2.910269770E-2
2.853223334E0,-1.078662138E-2,2.532205260E-3,3.174044073E-2,3.361872755E-2
